Topics,Average Relevance
"(0, '0.011*""captain"" + 0.010*""draft"" + 0.006*""continue"" + 0.006*""hospital"" + 0.006*""master"" + 0.005*""clerk"" + 0.005*""apartment"" + 0.005*""sharp"" + 0.005*""nurse"" + 0.005*""daughter""')",0.05805505642836744
"(1, '0.062*""continue"" + 0.008*""officer"" + 0.007*""smile"" + 0.007*""pull"" + 0.007*""guard"" + 0.006*""scene"" + 0.006*""camera"" + 0.005*""apartment"" + 0.005*""angle"" + 0.005*""mile""')",0.13967039908113127
"(2, '0.021*""master"" + 0.011*""crash"" + 0.006*""smile"" + 0.005*""nurse"" + 0.005*""record"" + 0.005*""continue"" + 0.004*""buddy"" + 0.004*""\'cause"" + 0.004*""mile"" + 0.004*""american""')",0.07453181193506514
"(3, '0.010*""fuckin"" + 0.008*""buddy"" + 0.006*""officer"" + 0.006*""judge"" + 0.006*""store"" + 0.005*""customer"" + 0.004*""hotel"" + 0.004*""goddamn"" + 0.004*""\'cause"" + 0.004*""outta""')",0.23991467702646993
"(4, '0.056*""mile"" + 0.010*""continue"" + 0.008*""president"" + 0.006*""angel"" + 0.005*""alright"" + 0.005*""judge"" + 0.004*""husband"" + 0.004*""bastard"" + 0.003*""uncle"" + 0.003*""gentleman""')",0.03278472746553069
"(5, '0.006*""kitchen"" + 0.005*""alright"" + 0.005*""continue"" + 0.005*""totally"" + 0.005*""wedding"" + 0.004*""bedroom"" + 0.004*""marry"" + 0.004*""apartment"" + 0.004*""smile"" + 0.004*""sister""')",0.21765218823301521
"(6, '0.019*""continue"" + 0.015*""shooting"" + 0.013*""president"" + 0.008*""sister"" + 0.007*""radio"" + 0.006*""buddy"" + 0.005*""daddy"" + 0.005*""store"" + 0.004*""customer"" + 0.004*""fuckin""')",0.023369519219903104
"(7, '0.013*""continue"" + 0.009*""agent"" + 0.007*""gentleman"" + 0.007*""final"" + 0.007*""angle"" + 0.007*""president"" + 0.006*""alright"" + 0.006*""fuckin"" + 0.006*""third"" + 0.005*""mister""')",0.08186660902257162
"(8, '0.026*""continue"" + 0.012*""final"" + 0.008*""president"" + 0.007*""stone"" + 0.006*""smile"" + 0.006*""open"" + 0.006*""sister"" + 0.006*""power"" + 0.005*""fuckin"" + 0.005*""captain""')",0.04056840989505872
"(9, '0.012*""freeze"" + 0.010*""continue"" + 0.009*""uncle"" + 0.007*""large"" + 0.005*""general"" + 0.005*""power"" + 0.005*""sister"" + 0.005*""worker"" + 0.004*""queen"" + 0.004*""smile""')",0.0764242398171601
